language,package,module,source,line,local_version,status,lock_status
Python,scipy,scipy.stats,tests/recorded/verify_models_readonly.py,5,1.14.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,scipy,scipy.io,tests/recorded/verify_models_readonly.py,6,1.14.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,numpy,numpy,analysis/spatial/analyze_spatial_frozen.py,4,2.0.2,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,pandas,pandas,analysis/spatial/analyze_spatial_frozen.py,4,2.2.3,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,h5py,h5py,analysis/spatial/analyze_spatial_frozen.py,4,3.12.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,scipy,scipy,analysis/spatial/analyze_spatial_frozen.py,4,1.14.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,scipy,scipy,analysis/spatial/analyze_spatial_frozen.py,5,1.14.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,requests,requests,data_prep/spatial/fetch_sources.py,2,2.31.0,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
R,cowplot,cowplot,plotting/targeted/plot_conditional.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,ggplot2,ggplot2,plotting/targeted/plot_conditional.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,grDevices,grDevices,plotting/targeted/plot_conditional.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,cowplot,cowplot,plotting/targeted/plot_organoid_supplement.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,jsonlite,jsonlite,plotting/targeted/plot_organoid_supplement.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,ggplot2,ggplot2,plotting/targeted/plot_organoid_supplement.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,tidyr,tidyr,plotting/targeted/plot_organoid_supplement.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,dplyr,dplyr,plotting/targeted/plot_organoid_supplement.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,grDevices,grDevices,plotting/targeted/plot_organoid_supplement.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,cowplot,cowplot,plotting/targeted/plot_spatial_extension.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,ggplot2,ggplot2,plotting/targeted/plot_spatial_extension.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,png,png,plotting/targeted/plot_spatial_extension.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,dplyr,dplyr,plotting/targeted/plot_spatial_extension.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,grDevices,grDevices,plotting/targeted/plot_spatial_extension.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,jsonlite,jsonlite,plotting/historical_targeted/plot_v1.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,rlang,rlang,plotting/historical_targeted/plot_v1.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,dplyr,dplyr,plotting/historical_targeted/plot_v1.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,cowplot,cowplot,plotting/historical_targeted/plot_v1.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,ggplot2,ggplot2,plotting/historical_targeted/plot_v1.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,tidyr,tidyr,plotting/historical_targeted/plot_v1.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,ggrepel,ggrepel,plotting/historical_targeted/plot_v1.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,grDevices,grDevices,plotting/historical_targeted/plot_v1.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,cowplot,cowplot,plotting/targeted/plot_xenium_extension.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,ggplot2,ggplot2,plotting/targeted/plot_xenium_extension.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,dplyr,dplyr,plotting/targeted/plot_xenium_extension.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,grDevices,grDevices,plotting/targeted/plot_xenium_extension.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
Python,requests,requests,data_prep/spatial/probe_public_cohorts.py,3,2.31.0,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,requests,requests,data_prep/spatial/remote_h5_metadata.py,3,2.31.0,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,h5py,h5py,data_prep/spatial/remote_h5_metadata.py,3,3.12.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,numpy,numpy,data_prep/spatial/remote_h5_metadata.py,3,2.0.2,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
